# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "6" "-p" "-a" "/mnt/data/bioinfo/rna_seq_project/reference/Saccharomyces_cerevisiae.R64-1-1.111.gtf" "-o" "gene_counts.txt" "aligned_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aligned_sorted.bam
YML057C-A	XIII	160023	160412	-	390	0
YML009C-A	XIII	250675	251001	-	327	51
tQ(CUG)M	XIII	808246	808317	-	72	0
YML093W	XIII	83090	85789	+	2700	1973
YMR116C	XIII;XIII	499456;500152	499878;500688	-;-	960	22406
YMR196W	XIII	655076	658342	+	3267	541
YML053C	XIII	169116	169754	-	639	361
YMR151W	XIII	562506	562943	+	438	14
YML009C	XIII	251304	251516	-	213	499
YMR070W	XIII	409154	410626	+	1473	828
YMR219W	XIII	707133	712109	+	4977	817
YML037C	XIII	204386	205408	-	1023	106
YMR280C	XIII	827028	831329	-	4302	167
YMR170C	XIII	601562	603082	-	1521	167
YMR123W	XIII	513593	513961	+	369	752
YML012C-A	XIII	245537	245914	-	378	1
YMR019W	XIII	312156	315005	+	2850	865
YMR206W	XIII	675896	676837	+	942	28
YMR165C	XIII	590040	592628	-	2589	569
YMR010W	XIII	285100	286317	+	1218	690
YMR184W	XIII	628189	628785	+	597	275
YML126C	XIII	19060	20535	-	1476	5189
YMR244W	XIII	757250	758317	+	1068	29
YMR279C	XIII	824729	826351	-	1623	111
YMR316C-B	XIII	907321	907629	-	309	4
YMR107W	XIII	483014	483361	+	348	45
YML054C-A	XIII	167623	167781	-	159	11
YMR043W	XIII	353871	354731	+	861	708
tA(AGC)M1	XIII	321147	321219	-	73	2
YMR270C	XIII	805326	806423	-	1098	333
YMR175W	XIII	611016	611255	+	240	14
YML009W-B	XIII	250435	250911	+	477	0
YMR035W	XIII	341142	341675	+	534	205
YMR108W	XIII	484084	486147	+	2064	7091
YML002W	XIII	264541	266754	+	2214	406
YML111W	XIII	46942	49704	+	2763	698
YMR278W	XIII	822763	824631	+	1869	304
YMR185W	XIII	629025	631970	+	2946	587
YMR304C-A	XIII	878780	879130	-	351	79
YML084W	XIII	99489	99797	+	309	0
YMR258C	XIII	782620	784281	-	1662	508
YMR023C	XIII	319437	321017	-	1581	187
YMR291W	XIII	852630	854390	+	1761	263
YMR041C	XIII	350966	351973	-	1008	311
YMR029C	XIII	328660	330231	-	1572	715
YMR092C	XIII	451632	453479	-	1848	1705
YMR138W	XIII	545155	545730	+	576	129
YMR122W-A	XIII	511315	511569	+	255	5199
YMR053C	XIII	380346	382898	-	2553	112
YMR220W	XIII	712316	713671	+	1356	1539
YMR087W	XIII	442527	443381	+	855	151
YML031W	XIII	214189	216156	+	1968	1080
YML118W	XIII	32334	33851	+	1518	81
YML120C	XIII	28266	29807	-	1542	1807
YMR078C	XIII	422503	424728	-	2226	629
tL(CAA)M	XIII;XIII	504895;504965	504932;505008	+;+	82	2
YMR042W	XIII	352603	353136	+	534	250
YMR251W	XIII	772915	774015	+	1101	45
YMR223W	XIII	716715	718130	+	1416	360
YML007C-A	XIII	253162	253272	-	111	8
YMR256C	XIII	778945	779127	-	183	1036
YMR214W	XIII	695350	696483	+	1134	1138
tP(UGG)M	XIII;XIII	196068;196135	196103;196170	-;-	72	0
YMR055C	XIII	386101	387021	-	921	124
YML117W	XIII	34243	37647	+	3405	1453
YMR271C	XIII	806865	807548	-	684	83
snR24	XIII	499984	500072	-	89	75
YMR226C	XIII	721593	722396	-	804	2555
YML110C	XIII	50031	50954	-	924	1833
YML047W-A	XIII	179893	180258	+	366	1
YML007W	XIII	253848	255800	+	1953	2002
YMR190C	XIII	640915	645258	-	4344	621
YMR225C	XIII;XIII	720960;721346	721198;721403	-;-	297	443
YMR264W	XIII	795805	796416	+	612	989
YMR037C	XIII	344403	346517	-	2115	820
YML024W	XIII;XIII	225889;226290	225891;226697	+;+	411	12119
YML083C	XIII	99794	101050	-	1257	62
YMR182W-A	XIII	625811	625897	+	87	14
YMR030W	XIII	330793	331923	+	1131	130
YMR187C	XIII	634689	635984	-	1296	175
YMR238W	XIII	746353	747729	+	1377	1237
YML061C	XIII	148953	151532	-	2580	847
YMR130W	XIII	532119	533027	+	909	660
YMR005W	XIII	276045	277211	+	1167	1054
YMR054W	XIII	383303	385975	+	2673	1980
YMR209C	XIII	685911	687284	-	1374	581
YML102W	XIII	68294	69700	+	1407	467
YMR194W	XIII;XIII	651145;651624	651160;651910	+;+	303	2001
YMR252C	XIII	775315	775719	-	405	136
YMR164C	XIII	587274	589550	-	2277	288
YMR074C	XIII	413036	413473	-	438	972
YML065W	XIII	142210	144954	+	2745	919
YMR243C	XIII	754838	756166	-	1329	2768
snR85	XIII	67768	67938	-	171	17
YMR145C	XIII	554793	556475	-	1683	5491
YML071C	XIII	129749	131572	-	1824	616
YMR015C	XIII	300869	302485	-	1617	5058
YML070W	XIII	133475	135229	+	1755	1284
YMR125W	XIII;XIII	517539;517886	517563;520446	+;+	2586	2287
YMR325W	XIII	922641	923015	+	375	8
YMR141W-A	XIII	550911	551135	+	225	148
YML072C	XIII	124730	129367	-	4638	4473
YML105C	XIII	57866	58687	-	822	927
YMR119W-A	XIII	506996	507370	+	375	89
YMR069W	XIII	407709	408566	+	858	77
YMR293C	XIII	855399	856793	-	1395	357
YML124C	XIII;XIII	22048;23659	23360;23683	-;-	1338	1954
YMR090W	XIII	449245	449928	+	684	231
YML029W	XIII	217362	219878	+	2517	597
YMR171C	XIII	603868	605520	-	1653	660
YMR102C	XIII	469848	472352	-	2505	476
YMR188C	XIII	636291	637004	-	714	1102
YMR269W	XIII	804456	805091	+	636	304
YMR128W	XIII	523696	527499	+	3804	955
YMR039C	XIII	348644	349522	-	879	1091
YMR230W	XIII;XIII	732414;732876	732465;733141	+;+	318	6547
YMR267W	XIII	801772	802704	+	933	536
YMR247C	XIII	763351	768039	-	4689	1230
YMR152W	XIII	563096	564193	+	1098	564
YMR251W-A	XIII	774752	774931	+	180	3768
YMR146C	XIII	557481	558524	-	1044	3084
YMR228W	XIII	724626	725651	+	1026	377
YMR032W	XIII	335298	337307	+	2010	509
YMR013C-A	XIII	296471	296620	-	150	0
YMR001C-A	XIII	271347	271577	-	231	51
YMR031W-A	XIII	334709	335035	+	327	4
YMR153W	XIII	564435	565862	+	1428	541
YMR056C	XIII	387315	388244	-	930	135
YMR282C	XIII	833356	835098	-	1743	744
YMR234W	XIII	740266	741312	+	1047	351
YMR323W	XIII	920088	921401	+	1314	15
YMR062C	XIII	395054	396379	-	1326	3014
YMR247W-A	XIII	769283	769426	+	144	0
YMR038C	XIII	347511	348260	-	750	1179
YMR049C	XIII	368094	370517	-	2424	1947
YMR272W-B	XIII	811089	811196	+	108	3
YMR147W	XIII	559199	559870	+	672	225
YML067C	XIII;XIII	139063;140184	140090;140214	-;-	1059	844
tK(CUU)M	XIII	480621	480693	-	73	1
tR(UCU)M1	XIII	747892	747963	-	72	2
YML107C	XIII	55265	56269	-	1005	236
snR54	XIII	163535	163620	-	86	28
YMR231W	XIII	733545	736634	+	3090	656
YMR081C	XIII	430079	431095	-	1017	61
YML051W	XIII	171594	172901	+	1308	496
YMR314W	XIII	901709	902413	+	705	2305
YMR113W	XIII	494999	496282	+	1284	401
YML031C-A	XIII	214086	214421	-	336	1
YMR263W	XIII	794919	795524	+	606	233
YML034W	XIII;XIII	209525;211571	211444;212155	+;+	2505	935
YMR131C	XIII	533163	534698	-	1536	2640
YMR310C	XIII	895716	896669	-	954	481
YMR034C	XIII	339418	340722	-	1305	95
YML103C	XIII	62582	67549	-	4968	1789
YMR306W	XIII	881159	886516	+	5358	229
YMR169C	XIII	599352	600872	-	1521	135
YMR186W	XIII	632355	634472	+	2118	25305
YML059C	XIII	153219	158258	-	5040	1327
YML086C	XIII	95791	97371	-	1581	1422
YMR013C	XIII	295179	296738	-	1560	345
YMR127C	XIII	522329	523345	-	1017	307
YMR153C-A	XIII	565574	565909	-	336	17
YMR212C	XIII	690695	693043	-	2349	1290
YMR296C	XIII	859215	860891	-	1677	1871
YMR101C	XIII	468445	469476	-	1032	18
YMR166C	XIII	593367	594473	-	1107	437
YMR061W	XIII	392755	394788	+	2034	1020
YMR288W	XIII	845571	848486	+	2916	425
YMR265C	XIII	796540	797925	-	1386	288
YML116W	XIII	38196	39824	+	1629	3783
YML130C	XIII	11483	13174	-	1692	1682
YMR273C	XIII	811233	813980	-	2748	519
YMR292W	XIII;XIII	854795;854899	854816;855293	+;+	417	407
YMR137C	XIII	542978	544963	-	1986	200
YMR013W-A	XIII	298311	298391	+	81	0
YML076C	XIII	112513	115347	-	2835	513
YMR082C	XIII	431769	432125	-	357	4
tR(UCU)M2	XIII	131825	131896	-	72	2
YMR022W	XIII	318680	319177	+	498	528
YML062C	XIII	147505	148683	-	1179	552
YMR086C-A	XIII	442026	442364	-	339	56
YML035C	XIII	206428	208860	-	2433	965
YMR173W	XIII	608689	609981	+	1293	197
YMR194C-A	XIII	652912	653136	-	225	29
YMR093W	XIII	454015	455556	+	1542	945
YML036W	XIII;XIII	205642;206204	206097;206293	+;+	546	375
YMR307W	XIII	887003	888682	+	1680	13006
YML116W-A	XIII	37472	37774	+	303	18
YMR021C	XIII	317165	318418	-	1254	309
YMR135C	XIII	538689	540056	-	1368	650
YMR121C	XIII	509734	510348	-	615	446
YMR129W	XIII	527804	531817	+	4014	1733
YML066C	XIII	140424	141533	-	1110	76
YMR045C	XIII	357359	362627	-	5269	134
YMR050C	XIII	373057	378325	-	5269	108
YML045W	XIII	184461	189729	+	5269	38
YML040W	XIII	196628	197950	+	1323	0
YML045W-A	XIII	184461	185783	+	1323	0
YMR046C	XIII	361305	362627	-	1323	0
YMR051C	XIII	377003	378325	-	1323	0
YML039W	XIII	196628	201896	+	5269	62
YBR225W	II	670627	673329	+	2703	293
YBR182C-A	II	595361	595555	-	195	14
YBL055C	II	115573	116829	-	1257	568
YBR293W	II	787006	788430	+	1425	393
YBR223W-A	II	668721	668840	+	120	0
YBR115C	II	469748	473926	-	4179	7430
YBR031W	II	300166	301254	+	1089	9439
YBL108C-A	II	7605	7733	-	129	0
YBR116C	II	474199	474726	-	528	1
YBR241C	II	702589	704055	-	1467	248
YBR182C	II	593506	594864	-	1359	89
YBR134W	II	504243	504644	+	402	8
YBL037W	II	147209	150286	+	3078	601
YBR019C	II	276253	278352	-	2100	127
YBR022W	II	283738	284271	+	534	381
YBR121C-A	II	482326	482484	-	159	0
YBR119W	II;II	479338;479435	479345;480323	+;+	897	336
YBL022C	II	177874	181275	-	3402	4212
snR161	II	307185	307345	-	161	9
YBR243C	II	705447	706793	-	1347	704
YBR234C	II	685438	686592	-	1155	1486
YBR179C	II	586547	589114	-	2568	795
YBR247C	II	713004	714455	-	1452	1227
YBR124W	II	486507	486866	+	360	0
YBL086C	II	61202	62602	-	1401	363
YBL065W	II	99963	100307	+	345	1
YBR227C	II	673572	675134	-	1563	1035
YBR218C	II	658707	662249	-	3543	4162
YBR244W	II	707528	708016	+	489	194
YBR160W	II	560078	560974	+	897	613
YBL080C	II	73070	74695	-	1626	387
YBR083W	II	409169	410629	+	1461	766
YBR294W	II	789235	791814	+	2580	2956
tI(AAU)B	II	197494	197567	+	74	0
YBR091C	II	427155	427484	-	330	282
YBR284W	II	771239	773632	+	2394	128
YBR158W	II	556549	558198	+	1650	1793
YBR111W-A	II;II;II	462139;462290;462500	462209;462429;462579	+;+;+	291	350
YBL071C	II	90223	90531	-	309	82
YBR126W-B	II	490927	491070	+	144	15
YBR229C	II	676357	679221	-	2865	922
YBR042C	II	320416	321609	-	1194	732
YBR150C	II	541209	544493	-	3285	421
YBR298C	II	802631	804475	-	1845	461
YBR143C	II	530869	532182	-	1314	4389
YBR014C	II	266725	267336	-	612	630
tS(AGA)B	II	227075	227156	+	82	0
YBR259W	II	730387	732453	+	2067	340
YBR060C	II	360652	362514	-	1863	572
YBR180W	II	589741	591459	+	1719	50
YBL034C	II	153848	158389	-	4542	594
YBR212W	II	647886	649904	+	2019	836
YBR071W	II	380411	381046	+	636	693
YBL074C	II	86722	87789	-	1068	123
YBL107C	II	9961	10551	-	591	625
YBR097W	II	436951	441315	+	4365	414
YBR136W	II	505668	512774	+	7107	409
YBR039W	II	315575	316510	+	936	3033
YBL089W	II	49574	50953	+	1380	356
YBL067C	II	93639	95882	-	2244	750
YBR270C	II	742761	744398	-	1638	152
YBR087W	II	423765	424829	+	1065	567
YBR121C	II	481364	483367	-	2004	5849
YBR026C	II	292877	294019	-	1143	286
YBR197C	II	615203	615856	-	654	318
YBR027C	II	294024	294356	-	333	17
YBR177C	II	584807	586162	-	1356	1881
YBR176W	II	583720	584658	+	939	372
YBR230W-A	II	680362	680562	+	201	143
YBR090C	II;II	426333;426874	426516;427058	-;-	369	12
YBL071C-B	II	89458	89556	-	99	3
YBR064W	II	367763	368191	+	429	2
YBR044C	II	324341	326059	-	1719	696
YBL068W	II	92414	93394	+	981	535
YBR216C	II	655576	657600	-	2025	634
YBR271W	II	744852	746111	+	1260	329
YBR084W	II	411054	413981	+	2928	4368
YBR065C	II	368584	369678	-	1095	287
YBR245C	II	708150	711539	-	3390	990
YBR085W	II	415983	416906	+	924	94
YBR059C	II	356861	360187	-	3327	1014
YBR068C	II	373861	375690	-	1830	403
YBR285W	II	773922	774356	+	435	34
YBR041W	II	318266	320275	+	2010	1230
YBR252W	II	722611	723054	+	444	737
YBL082C	II	69751	71127	-	1377	433
YBL002W	II	236492	236887	+	396	7586
YBL098W	II	39145	40527	+	1383	2307
YBR117C	II	474392	476437	-	2046	143
YBR214W	II	651415	652998	+	1584	379
YBR169C	II	573915	575996	-	2082	324
YBR207W	II	635146	636543	+	1398	1166
YBR155W	II	549771	550928	+	1158	736
YBL106C	II	10847	13879	-	3033	463
YBR237W	II	691969	694518	+	2550	614
YBR193C	II	609082	609753	-	672	196
YBR149W	II	539987	541021	+	1035	1244
YBR013C	II	265492	265881	-	390	52
YBL063W	II	101886	105221	+	3336	614
YBL029C-A	II	164488	164772	-	285	151
YBR147W	II	536575	537465	+	891	360
YBR246W	II	711591	712754	+	1164	545
YBR002C	II	241708	242568	-	861	555
YBR023C	II	284428	287925	-	3498	2176
YBL088C	II	51019	59382	-	8364	900
YBL064C	II	100371	101156	-	786	526
YBL007C	II	212632	216366	-	3735	2166
tL(UAA)B2	II	347603	347686	+	84	2
YBL093C	II	44256	44918	-	663	420
YBL091C	II	47363	48628	-	1266	1469
YBR142W	II	528317	530638	+	2322	1195
YBR047W	II	331833	332360	+	528	63
YBR238C	II	695107	697302	-	2196	331
YBR067C	II	372103	372735	-	633	242
YBR010W	II	256331	256741	+	411	8228
YBL054W	II	117589	119166	+	1578	576
YBR209W	II	642583	642900	+	318	42
YBL060W	II	107932	109995	+	2064	375
YBR089W	II	425183	425782	+	600	1
YBR025C	II	290681	291865	-	1185	6569
YBR040W	II	316968	317864	+	897	2
YBR230C	II;II	679549;680040	679942;680050	-;-	405	373
YBL027W	II;II	168423;168809	168424;169376	+;+	570	13209
YBL100C	II	36989	37303	-	315	230
YBR261C	II	734832	735530	-	699	657
YBR034C	II	304930	305976	-	1047	1441
YBR101C	II	443821	444693	-	873	1402
YBL010C	II	206107	206949	-	843	309
YBR053C	II	339675	340751	-	1077	371
YBL059C-A	II;II	110125;110506	110420;110539	-;-	330	502
YBR255C-A	II;II	726618;727012	726917;727074	-;-	363	228
YBL042C	II	138341	140260	-	1920	1017
YBL039C	II	143989	145728	-	1740	2903
YBR217W	II	657832	658392	+	561	140
YBR200W-A	II	622983	623147	+	165	3
YBL003C	II	235394	235792	-	399	5516
YBR069C	II	376574	378433	-	1860	142
YBR056W-A	II	351255	351455	+	201	10
YBR009C	II	255373	255684	-	312	6979
YBL038W	II	146187	146885	+	699	812
YBR056C-B	II	351293	351451	-	159	0
YBR081C	II	401253	405251	-	3999	1189
YBR007C	II	248806	251016	-	2211	407
YBR146W	II	535260	536096	+	837	1479
YBR171W	II	578364	578984	+	621	914
YBL028C	II	167518	167838	-	321	874
YBR135W	II	504854	505306	+	453	393
YBR264C	II	737770	738369	-	600	161
YBR043C	II	321876	323945	-	2070	707
YBL059W	II;II	110594;110949	110879;111244	+;+	582	177
YBR131W	II	497163	499277	+	2115	275
YBR233W-A	II	684977	685261	+	285	333
YBR092C	II	427698	429101	-	1404	129
YBR126C	II	488905	490392	-	1488	1762
YBR057C	II	352193	353293	-	1101	477
YBR086C	II	420201	423041	-	2841	2461
YBR174C	II	582338	582652	-	315	1
snR56	II	88190	88277	+	88	3
YBR281C	II	764970	767606	-	2637	981
YBL103C	II	22076	23536	-	1461	528
tG(GCC)B	II	197629	197699	-	71	0
YBR159W	II	558685	559728	+	1044	2150
YBR118W	II	477671	479047	+	1377	20195
YBL004W	II	227636	235117	+	7482	2482
YBR163W	II	565723	567480	+	1758	480
YBL013W	II	202056	203261	+	1206	106
YBL112C	II	2582	2899	-	318	1
YBR231C	II	682179	683090	-	912	357
YBL066C	II	96669	100115	-	3447	567
YBR008C	II	252563	254209	-	1647	370
YBL015W	II	194122	195702	+	1581	1304
YBR038W	II	311898	314789	+	2892	1229
YBL018C	II;II	185998;186428	186352;186474	-;-	402	589
YBR253W	II	723270	723635	+	366	230
YBL068W-A	II	91794	92030	+	237	0
YBR058C	II	353672	356017	-	2346	884
YBL084C	II	67169	69445	-	2277	393
YBR224W	II	670125	670640	+	516	1
YBR077C	II	391805	392293	-	489	406
YBL087C	II;II	59822;60698	60193;60739	-;-	414	5406
YBR098W	II	441515	443590	+	2076	221
YBR239C	II	698354	699943	-	1590	209
YBR168W	II	572371	573612	+	1242	278
YBL046W	II	132424	133749	+	1326	520
YBR003W	II	242809	244230	+	1422	877
YBR215W	II;II	653356;653453	653368;655317	+;+	1878	516
LSR1	II	680688	681862	-	1175	200
YBL025W	II	171481	171918	+	438	191
YBR105C	II	450881	451969	-	1089	380
YBR200W	II	620872	622527	+	1656	675
YBR190W	II	605966	606277	+	312	2
YBR248C	II	714807	716465	-	1659	2974
YBR145W	II	533762	534817	+	1056	728
YBL047C	II	127895	132040	-	4146	2922
YBR099C	II	442924	443307	-	384	0
YBL014C	II	199064	201748	-	2685	621
YBR062C	II;II	365976;366585	366502;366600	-;-	543	445
YBL092W	II	45978	46370	+	393	17552
YBR240C	II	700490	701842	-	1353	62
YBR251W	II	721390	722313	+	924	526
YBR199W	II	618909	620303	+	1395	1922
YBR128C	II	493081	494115	-	1035	90
YBR139W	II	515664	517190	+	1527	584
YBL070C	II	90605	90925	-	321	4
YBR054W	II	343101	344135	+	1035	465
YBL039W-B	II	143393	143572	+	180	66
YBR072W	II	382030	382674	+	645	298
YBR111C	II	461178	461873	-	696	728
YBL001C	II	237153	237467	-	315	885
YBR110W	II	458872	460221	+	1350	833
YBL111C	II;II	2907;4216	4116;5009	-;-	2004	21
YBL036C	II	150447	151220	-	774	878
tR(UCU)B	II	405878	405949	+	72	0
YBL094C	II	43765	44097	-	333	1
YBR033W	II	301944	304703	+	2760	222
YBL073W	II	87646	87957	+	312	29
YBR096W	II	436021	436713	+	693	834
YBL053W	II	119335	119709	+	375	2
YBR030W	II	298292	299950	+	1659	420
YBL076C	II	81043	84261	-	3219	7426
YBR256C	II	727386	728102	-	717	1406
YBR162W-A	II	565231	565428	+	198	1101
YBL077W	II	80897	81328	+	432	4
YBR156C	II	551104	553200	-	2097	371
YBL012C	II	203406	203807	-	402	19
YBL008W-A	II	209409	209648	+	240	4
YBR297W	II	800523	801929	+	1407	495
YBR189W	II;II	604508;604928	604514;605508	+;+	588	17462
YBL096C	II	43174	43482	-	309	23
YBR011C	II	257112	257975	-	864	7854
YBL041W	II	141247	141972	+	726	1533
YBL081W	II	71866	72972	+	1107	475
YBR089C-A	II	426190	426489	-	300	243
YBR103C-A	II	449320	449463	-	144	0
YBR296C	II	796798	798522	-	1725	301
YBL040C	II;II	142112;142847	142749;142868	-;-	660	1356
YBR165W	II	568852	569685	+	834	370
YBL026W	II;II	170623;170805	170676;171038	+;+	288	642
YBR082C	II;II	406628;407123	407027;407169	-;-	447	2661
YBR280C	II	762784	764697	-	1914	271
YBR061C	II	364787	365719	-	933	513
YBL016W	II	192451	193512	+	1062	639
YBR175W	II	582408	583355	+	948	361
YBR029C	II	296369	297742	-	1374	2275
YBL057C	II	112801	113427	-	627	702
YBR298C-A	II	805035	805256	-	222	2
YBR192W	II	607652	608785	+	1134	706
tQ(UUG)B	II	350827	350898	+	72	1
YBR302C	II	810340	811479	-	1140	20
YBR254C	II	723736	724263	-	528	291
YBR204C	II	632254	633381	-	1128	357
YBR220C	II	662995	664677	-	1683	565
YBR222C	II	666720	668351	-	1632	556
YBR290W	II	782591	783556	+	966	801
YBR162C	II	563203	564570	-	1368	6684
YBR167C	II	571468	571890	-	423	146
YBL033C	II	158656	159693	-	1038	543
YBR228W	II	675313	676227	+	915	212
YBR263W	II	736264	737736	+	1473	2231
YBR250W	II	719033	720604	+	1572	43
YBR272C	II	746361	747803	-	1443	512
YBR120C	II	480435	480923	-	489	338
YBR084C-A	II;II	414186;415260	414753;415261	-;-	570	9790
YBL062W	II	105308	105688	+	381	0
YBR301W	II	809057	809419	+	363	6
YBR076W	II	390227	391291	+	1065	24
YBR210W	II	645550	645978	+	429	388
YBR106W	II	452658	453224	+	567	7378
YBR005W	II	245906	246547	+	642	317
YBR153W	II	547460	548194	+	735	269
YBR132C	II	499652	501442	-	1791	216
YBR166C	II	569842	571200	-	1359	781
YBR221W-A	II	666538	666642	+	105	1
YBR131C-A	II	497650	497739	-	90	0
YBR161W	II	561634	562764	+	1131	385
YBR109C	II	457919	458362	-	444	1639
YBR255W	II	724456	726540	+	2085	401
YBR205W	II	633622	634836	+	1215	1070
YBR296C-A	II	800123	800242	-	120	2
YBL043W	II	136688	137461	+	774	164
YBR130C	II	495592	496869	-	1278	798
YBR206W	II	634601	634924	+	324	29
YBR122C	II	483970	484503	-	534	1216
YBR295W	II	792849	796499	+	3651	467
YBR004C	II	244366	245667	-	1302	528
YBR202W	II	625772	628309	+	2538	952
YBR001C	II	238941	241283	-	2343	306
YBL113C	II	280	2658	-	2379	457
YBR288C	II	778012	779463	-	1452	574
YBR282W	II	768240	768680	+	441	499
YBL072C	II	88523	89125	-	603	9751
YBR103W	II	447709	449316	+	1608	609
YBR107C	II	453793	454530	-	738	295
YBL024W	II	172534	174588	+	2055	1641
YBR012C	II	259147	259566	-	420	100
YBR188C	II	603685	604107	-	423	173
YBL075C	II	84499	86448	-	1950	455
YBR102C	II	445062	447323	-	2262	665
YBR006W	II	247010	248503	+	1494	429
YBL051C	II	122753	124759	-	2007	1152
YBR196C	II	612236	613900	-	1665	13220
YBL031W	II	161699	162715	+	1017	182
YBR141W-A	II	527167	527262	+	96	0
YBL006W-A	II	216711	216860	+	150	0
YBL100W-C	II	28427	28546	+	120	24
YBR236C	II	690383	691693	-	1311	882
YBR276C	II	757620	760043	-	2424	1281
YBR036C	II	309081	310313	-	1233	2491
YBR045C	II	328173	330092	-	1920	150
YBR291C	II	783673	784572	-	900	2459
YBR137W	II	513044	513583	+	540	413
YBR079C	II	395383	398277	-	2895	4371
YBR017C	II	270947	273703	-	2757	1397
YBL044W	II	135998	136366	+	369	8
YBL023C	II	174920	177526	-	2607	599
YBR127C	II	491269	492822	-	1554	4478
YBR152W	II	546376	547251	+	876	201
YBR035C	II	306269	306955	-	687	1425
YBR289W	II	779667	782384	+	2718	520
YBL017C	II	186844	191583	-	4740	3008
YBR157C	II	553543	554310	-	768	260
YBL104C	II	18177	21293	-	3117	632
YBL109W	II	5790	6125	+	336	4
tL(UAA)B1	II	9583	9666	+	84	0
YBR072C-A	II	382860	383021	-	162	2
YBR300C	II	808600	809097	-	498	0
YBR195C	II	610614	611882	-	1269	309
YBR233W	II	683428	684669	+	1242	216
YBR262C	II	735720	736040	-	321	475
YBR020W	II	279021	280607	+	1587	79
YBR085C-A	II	418907	419164	-	258	1160
YBR123C	II	484742	486691	-	1950	477
YBR221C	II	665153	666253	-	1101	3819
YBL029W	II	166134	167264	+	1131	241
YBL045C	II	134143	135516	-	1374	4839
YBR191W-A	II	607149	607223	+	75	20
YBR154C	II	548362	549009	-	648	1602
YBR278W	II	760294	760899	+	606	135
YBR273C	II	748061	749371	-	1311	705
YBR032W	II	301519	301821	+	303	14
YBR048W	II;II	332831;333387	332875;333812	+;+	471	8582
YBR104W	II	449667	450656	+	990	1262
YBL079W	II	75259	79767	+	4509	2075
YBR265W	II	738582	739544	+	963	635
YBR249C	II	716882	717994	-	1113	4413
YBR203W	II	629168	631942	+	2775	237
YBR184W	II	597363	598934	+	1572	118
YBR170C	II	576344	578086	-	1743	779
YBR173C	II	581726	582172	-	447	1120
YBR133C	II	501804	504287	-	2484	973
YBR275C	II	751356	757106	-	5751	1342
YBL108W	II	8177	8482	+	306	1
YBL113W-A	II	646	1128	+	483	0
YBL085W	II	63876	66818	+	2943	1323
YBL052C	II	119379	121874	-	2496	663
YBL009W	II	207194	209224	+	2031	779
YBR283C	II	768943	770415	-	1473	4369
YBR094W	II	432036	434297	+	2262	702
YBR258C	II	729734	730162	-	429	112
YBR201W	II	623576	624211	+	636	208
YBR070C	II	379221	379934	-	714	420
tE(UUC)B	II	645167	645238	+	72	0
YBR198C	II	616127	618523	-	2397	1200
YBL056W	II	113762	115168	+	1407	2278
YBL099W	II	37053	38690	+	1638	6405
YBR257W	II	728885	729724	+	840	217
YBR126W-A	II	490850	491056	+	207	76
YBR242W	II	704670	705386	+	717	554
YBL008W	II	209653	212175	+	2523	562
YBR181C	II;II	591712;592769	592416;592774	-;-	711	11748
tC(GCA)B	II	643007	643078	-	72	0
YBR052C	II	338720	339352	-	633	748
YBR093C	II	429548	430951	-	1404	33
YBR049C	II	334386	336818	-	2433	1398
YBR056W	II	347879	349384	+	1506	575
YBL030C	II	163041	163997	-	957	10051
tT(AGU)B	II	266378	266450	+	73	0
YBR141C	II	527025	528038	-	1014	171
YBR226C	II	673155	673565	-	411	7
YBL005W	II	217470	220400	+	2931	324
YBR151W	II	545028	545978	+	951	1250
YBR144C	II	533235	533549	-	315	5
YBR178W	II	586071	586445	+	375	2
YBR138C	II	513762	515336	-	1575	205
YBL090W	II	48825	49358	+	534	750
YBL105C	II	14241	17696	-	3456	1220
YBL102W	II	24098	24745	+	648	664
YBL011W	II	203538	205817	+	2280	1239
YBR095C	II	434406	435698	-	1293	408
YBR196C-B	II	614526	614630	-	105	20
YBL048W	II	127299	127610	+	312	45
YBR066C	II	370037	370699	-	663	339
YBR292C	II	784702	785073	-	372	20
YBR018C	II	274427	275527	-	1101	29
YBR194W	II	610038	610409	+	372	120
YBR076C-A	II	391351	391617	-	267	105
YBR108W	II	454822	457665	+	2844	456
YBR046C	II	330507	331511	-	1005	174
YBR235W	II	686901	690263	+	3363	815
YBR274W	II	749594	751177	+	1584	381
YBL006C	II	216587	217129	-	543	335
YBR186W	II;II	600553;602217	602103;602360	+;+	1695	98
YBR277C	II	760215	760616	-	402	0
YBR185C	II	599123	599959	-	837	531
YBL078C	II	80378	80731	-	354	178
YBR037C	II	310565	311452	-	888	471
YBR015C	II	267710	269503	-	1794	1799
YBR016W	II	270247	270633	+	387	516
YBL107W-A	II	9268	9372	+	105	0
YBL071W-A	II	89978	90226	+	249	202
YBR269C	II	742160	742576	-	417	334
YBR266C	II	739936	740388	-	453	0
YBR055C	II	344602	347301	-	2700	664
YBR088C	II	424990	425766	-	777	113
tV(UAC)B	II	326792	326865	-	74	0
YBL019W	II	184353	185915	+	1563	259
YBR112C	II	462870	465770	-	2901	1598
YBR164C	II	567875	568426	-	552	1042
YBR148W	II	537876	539705	+	1830	90
YBL020W	II	182401	184125	+	1725	728
YBR208C	II	636703	642210	-	5508	900
